name,price,series,authors,genres,formats,producer,description
"Манга Берсерк, том 3",,"Берсерк,Berserk",Кэнтаро Миура,"боевик,приключения,трагедия,ужасы,фэнтези","468 страниц, твердый переплет",XL Media,"Проиграв в поединке Гриффиту, харизматичному лидеру Отряда Соколов, Гатс вынужден вступить в ряды его наемников. Впереди их ждет множество ожесточенных кровавых битв, во время которых нелюдимый юноша, старавшийся при всех казаться изгоем, начинает понимать, что он вовсе не одинок и находит себе верных и преданных товарищей., Череда небывалых побед Отряда Соколов обращают на себя внимание правителя королевства Мидленд, погрязшего в столетней войне с империей Тюдоров. Амбициозные устремления Гриффита, еще недавно казавшиеся Гатсу несбыточными, постепенно начинают воплощаться в жизнь. Но молодой воин еще не знает, что на полях сражений могут повстречаться настоящие чудовища, чья сила и мастерство запредельно выше человеческих..."
Манга Переулок,950,"Rojiura,Переулок",Дзюндзи Ито,ужасы,376 страниц,Фабрика комиксов,
"Манга Эльф не может похудеть, том 3",449,"Эльф не может похудеть,Elf-san wa Yaserarenai","Синекдоха,Synecdoche","комедия,фэнтези,эротика",162 страницы,Фабрика комиксов,"Наоэ Томоацу, юный консультант в популярной клинике сэйтай-терапии, помогает инопланетной эльфийке поправить фигуру."
"Манга Железный миротворец, том 9",549,"Железный миротворец,Peace Maker Kurogane",Nanae Chrono,"приключения,драма,боевик",186 страниц,Фабрика комиксов,"15 летний Тэцу Итимура вступает в самурайский полк, созданный для охраны порядка в Киото, мечтает стать сильным и отомстить убийцам своих родителей."
"Гостья М, том 1",690,"Seirichan,Гостья М",Кэн Кояма,комедия,220 страниц,Фабрика комиксов,"Если с ней подружиться, жизнь станет намного счастливее. Забавные и трогательные рассказы о нежеланной гостье, являющейся каждый месяц, и женщинах, у которых и без нее хватает проблем."
"Манга Рыцари «Сидонии», том 9",480,"Рыцари Сидонии,Sidonia no Kishi",Цутому Нихэй,"драма,меха,фантастика,сэйнэн","190 страницы, мягкий переплет, суперобложка",XL Media,"«Сидония» готовится к бою с большим кораблем-кластером, но отряд, отправившийся к седьмой планете звездной системы Лема, попадает в засаду. Нагатэ и Цумуги бросаются на выручку к Идзане, оказавшейся посреди целого полчища Гауна. Нагатэ и не подозревает, что ради спасения подруги ему придется столкнуться со знакомым врагом и взглянуть в лицо давним страхам..."
"Манга Очень приятно, бог. Том 18",480,"Очень приятно бог,Kamisama Hajimemashita",Джульетта Судзуки,"комедия,романтика,сёдзё,фантастика,школа","194 страницы, мягкий переплет, суперобложка",XL Media,"Нанами наконец возвращается в свое время, и выясняется, что ее чувства к Томоэ давно уже взаимны. И все бы хорошо, но школу и обязанности богини никто не отменял. Томоэ ради Нанами хочет лучше освоиться в мире людей и берется за учебу, и сама она тоже, решив не отставать, начинает с пылом готовиться к экзаменам. Выходит, даже рядом с любимым будни часто — тяжелый труд, а не один только праздник!.. А в школе тем временем планируется экскурсия на Окинаву, о которой Нанами давно мечтала..."
"Манга Очень приятно, бог. Том 17",480,"Очень приятно бог,Kamisama Hajimemashita",Джульетта Судзуки,"комедия,романтика,сёдзё,фантастика,школа","194 страницы, мягкий переплет, суперобложка",XL Media,"Нанами совершает еще одно путешествие во времени и снова находит падшего бога Куромаро. Тот показывает ей, как причудливо сплелись судьбы в прошлом и будущем, и Нанами наконец понимает, в кого именно был влюблен Томоэ на самом деле, и узнает причину своего странного сходства с Юкидзи..."
"Манга Очень приятно, бог. Том 16",480,"Очень приятно бог,Kamisama Hajimemashita",Джульетта Судзуки,"комедия,романтика,сёдзё,фантастика,школа","194 страницы, мягкий переплет, суперобложка",XL Media,"Нанами узнает, что Акурао собирается похитить Юкидзи прямо со свадебной процессии, чтобы насолить Томоэ. Отец девушки и слышать не хочет о том, чтобы перенести церемонию. Тогда Нанами решает подменить Юкидзи, сев в паланкин вместо нее. Но Томоэ тоже не собирается оставаться в стороне..."
"Манга Эмбрион мира, том 11",580,Эмбрион мира,"Морияма Дайсукэ,Daisuke Moriyama","ужасы,мистика",218 страниц,Фабрика комиксов,"Рику Аманэ потерял женщину, которой восхищался больше всего на свете. Долгими бессонными ночами он лелеял воспоминания о ней. Два года спустя он стал свидетелем кровавого сражения с участием людей, превратившихся в чудовищ. Он должен был умереть, но его спас кокон. Рожденная коконом женщина как две капли воды походила ну ту, что он потерял. С ее появлением начались поиски истины. Поиски, в ходе которых так легко расстаться с жизнью."
"Манга Эмбрион мира, том 10",580,Эмбрион мира,"Морияма Дайсукэ,Daisuke Moriyama","ужасы,мистика",218 страниц,Фабрика комиксов,"Рику Аманэ потерял женщину, которой восхищался больше всего на свете. Долгими бессонными ночами он лелеял воспоминания о ней. Два года спустя он стал свидетелем кровавого сражения с участием людей, превратившихся в чудовищ. Он должен был умереть, но его спас кокон. Рожденная коконом женщина как две капли воды походила ну ту, что он потерял. С ее появлением начались поиски истины. Поиски, в ходе которых так легко расстаться с жизнью."
"Манга Староста-горничная, том 8",400,"Староста-горничная,Kaichou wa maid-sama",Фудзивара Хиро,"романтика,комедия",192 страницы,Фабрика комиксов,"Школа Сэйка когда-то была школой исключительно для мальчиков. Недавно её сделали совместной школой, однако мальчики по-прежнему составляют там большинство. Мисаки Аюдзава (обычно именуемая просто «Миса») — одна из учениц этой школы. Она добилась того, чтобы стать председателем школьного совета, и теперь прилагает все усилия, защищая немногочисленных девочек от парней-хулиганов, и стараясь улучшить образ школы, чтобы сделать её более привлекательной для поступающих., Среди прочих мальчиков в школе учится Усуи Такуми. Он очень популярен среди девушек, и они регулярно признаются ему в любви. Но он остаётся холоден к этим признаниям, что также раздражает Мису, так как она считает, что этим он их ранит., Но у Мисы есть одна тайна. Из тех же финансовых соображений ей приходится работать официанткой в кафе, где работницы одеты в служанок. Естественно, она не хочет, чтобы в школе об этом узнали. Но однажды в это кафе зашёл Усуи. Он не стал никому рассказывать о том, что увидел, но после этого стал регулярно наведываться в это кафе."
"Манга Война миров, том 1",450,"Uchu Sensou,Война миров","Саи Ихара,Хитоцу Ёкосима","приключения,фантастика",192 страницы,Фабрика комиксов,"Начало 20 века... На красной планете Марс замечена странная активность. Несколько дней спустя на окраине пасторального английского городка падает странный цилиндр. Собравшиеся поглазеть на него зеваки и не подозревают, что внутри затаились враждебно настроенные существа, готовящие погибель человечеству! Люди против марсиан! Знаменитый роман Г. Дж. Уэллса, ставший одним из краеугольных камней научной фантастики, предстает перед вами в прекрасной манга-адаптации.,Внезапно разразившаяся война сводит вместе трех незнакомцев — начинающего фотографа, священника и артиллериста. После недолгих раздумий они принимают решение отправиться в Уэйбридж и доложить военному командованию землян об истинных намерениях марсиан. Сможет ли самое современное английское оружие противостоять огромным марсианским треножникам, давящим людей, как ничтожных букашек, и испепеляющим все на своем пути? И возможно ли вообще противостоять холодному инопланетному разуму?"
"Манга Гостья М, том 2",690,"Seirichan,Гостья М",Кэн Кояма,комедия,240 страниц,Фабрика комиксов,"Если с ней подружиться, жизнь станет намного счастливее. Забавные и трогательные рассказы о нежеланной гостье, являющейся каждый месяц, и женщинах, у которых и без нее хватает проблем."
Манга Дезертир,950,"House of the Deserter,Дезертир",Дзюндзи Ито,ужасы,392 страницы,Фабрика комиксов,"Издеваясь над другими, человек взращивает в сердце ростки порочного удовольствия. В сборнике «Дезертир» представлены двенадцать историй о том, как неспособность обуздать отрицательные эмоции приводит к невообразимо пугающим последствиям."
"Манга Бдительный Эгути-кун, том 2",390,"Бдительный Эгути-кун,Eguchi-kun wa Minogasanai",Юкико Нодзава,"комедия,этти",128 страниц,Фабрика комиксов,"В глазах Хадзимэ Эгути отражаются грезы, одолевающие всех мальчишек его возраста. Наша повседневная жизнь пронизана пикантными моментами, но их так легко упустить! Бюстгальтер под пропитавшейся потом кофточкой; трусики, явленные на свет налетевшим ветерком; грудь, проглядывающая на месте оторвавшейся пуговицы. Ни одна пикантность не ускользнет от взгляда Эгути-куна!"
Манга Безголовые статуи,950,"Kubi no Nai Choukoku,Безголовые статуи",Дзюндзи Ито,ужасы,376 страниц,Фабрика комиксов,"В мастерской чудаковатого скульптора обнаруживаются безупречно изваянные статуи, способные внушить восхищение любому ценителю искусства, если бы не одна жуткая деталь — все они лишены голов! Зачем старому мастеру понадобилось создавать столь пугающие творения? И почему из школы, в которой он работал, стали пропадать ученики? Кроме заглавного рассказа, в сборник включены еще 12 леденящих кровь историй."
"Манга Проза бродячих псов, том 1",850,"Bungo Stray Dogs,Проза бродячих псов",Кафка Асагири и Санго,"детектив,драма,мистика,приключения","402 страницы, твердый переплет",XL Media,"Мальчика по имени Ацуси Накадзима выгоняют из сиротского приюта, и так он оказывается в Иокогаме без денег и крыши над головой. Ацуси в таком отчаянии, что решается ограбить первого встречного. Однако сердце у него доброе, и вместо ограбления он спасает жизнь тонущему человеку, которого видит в реке. Этим человеком оказывается некто Осаму Дадзай — эксцентричный сотрудник так называемого Вооруженного детективного агентства. В данный момент он и его товарищи ищут загадочного тигра-людоеда, наводящего страх на жителей округи. Ацуси и сам натерпелся от этого тигра, поэтому соглашается помочь Дадзаю в поисках. Вскоре он знакомится с другими сотрудниками агентства, где каждый другого чуднее.."
"Манга Хвост Феи, том 13",480,"Хвост Феи,Fairy Tail",Хиро Масима,"комедия,приключения,сёнэн,фэнтези","194 страницы, мягкий переплет",XL Media,"Для Нацу и его друзей, давшим отпор невиданной доселе угрозе, многое началось с чистого листа. Да и сам «Хвост феи» переродился: разрушенное здание гильдии восстановлено и готово встретить новичков, о «Хвосте феи» пишут статьи, наши герои готовятся к празднику — каждый день полон радостной суматохи! Вот только не всем по душе стиль жизни самой безумной на свете гильдии, и кое-кто задумал сорвать их планы..."
"Манга Бездомный бог, том 13",550,"Бездомный бог,Noragami",Адатитока,"комедия,мистика,приключения,романтика","196 страниц, мягкий переплет, суперобложка, цветные иллюстрации",XL Media,"Хиёри узнает, что Фудзисаки — «отец» Ято. Он говорит Хиёри держаться от Ято подальше, но та не собирается сдаваться — и приходится вступить с Фудзисаки в открытое противоборство за душу Ято. Хиёри храбра и может постоять за себя, но что, если на кону окажутся благополучие и жизни дорогих ей людей? Ведь так легко поверить, что во всех несчастьях, что с ними происходят, виноват Ято — бог, рожденный, чтобы отбирать..."
"Манга Страна чудес смертников, том 10",480,"Страна чудес смертников,Deadman Wonderland","Дзинсэй Катаока,Кадзума Кондо","боевик,драма,сёнэн,трагедия,фэнтези","182 страницы, мягкий переплет, суперобложка",XL Media,"После расправы над Тамаки многое в «Стране чудес» поменялось, а Ганту признали невиновным. Но выход из тюрьмы не делает Ганту счастливее: он никак не может принять тот факт, что под маской Злосчастного Яйца, убившего его одноклассников, скрывалась его дорогая подруга Сиро. Тем временем шеф-надзиратель Макина собирает бывших Смертников, чтобы покончить со Злосчастным Яйцом и Ринитиро Хагирэ, скрывающимся под личиной Тото Сакигами. Откликнется ли Ганта на ее приглашение присоединиться?"
"Манга Бездомный бог, том 14",550,"Бездомный бог,Noragami",Адатитока,"комедия,мистика,приключения,романтика","196 страниц, мягкий переплет, суперобложка, цветные иллюстрации",XL Media,"Хиёри и ее родители пострадали — козни Фудзисаки, «отца» Ято, удались. Но у Хиёри жизнь уже налаживается, чего не скажешь о Бисямон и ее реликвии Цугухе. Что-то происходит с ее подопечной, и одна из Семи Богов Счастья подозревает, что к делу приложил руку Заклинатель. Беспощадная правда ставит Бисямон и ее реликвию счастья Кадзуму перед страшным выбором."
"Манга Бездомный бог, том 15",550,"Бездомный бог,Noragami",Адатитока,"комедия,мистика,приключения,романтика","196 страниц, мягкий переплет, суперобложка, цветные иллюстрации",XL Media,"После страшной потери Бисямон с трудом приходит в себя, но все же отправляется на собрание богов в Такамагахару. Втайне от Кадзумы она ищет способ отомстить Заклинателю. На собрание впервые зовут Ято и Юкинэ. Приглашение приносит не кто-нибудь, а Киун — первая реликвия и доверенное лицо Такэмикадзути, бога грома. Похоже, тот одержим идеей заполучить собственную реликвию счастья..."
"Манга Страна чудес смертников, том 11",480,"Страна чудес смертников,Deadman Wonderland","Дзинсэй Катаока,Кадзума Кондо","боевик,драма,сёнэн,трагедия,фэнтези","198 страниц, мягкий переплет, суперобложка",XL Media,"Ганта и Сэндзи снова отправляются в ненавистную им «Страну чудес смертников», чтобы найти «Певчие коробы» — ключ к разгадке тайны Злосчастного Яйца. Однако дорогу им преграждает Ринитиро Хагирэ в облике Тото, который по некой причине хочет заполучить тело Ганты. Тем временем в руки Макины попадает дневник матери Ганты с пронзительным и страшным рассказом о детской дружбе ее сына и Сиро..."
"Манга Страна чудес смертников, том 12",480,"Страна чудес смертников,Deadman Wonderland","Дзинсэй Катаока,Кадзума Кондо","боевик,драма,сёнэн,трагедия,фэнтези","182 страницы, мягкий переплет, суперобложка",XL Media,"Когда Сэндзи оказывается на волосок от гибели от рук Ринитиро Хагирэ в облике Тото, в бой вмешивается Ганта, который не смог бросить друга. Способности их противника невероятны, но совместными усилиями и хитростью им все же удается одолеть Тото... По крайней мере, если никто не придет ему, искалеченному и умирающему, на помощь, — но зачем кому-то такое может понадобиться?.."
"Манга Страна чудес смертников, том 9",480,"Страна чудес смертников,Deadman Wonderland","Дзинсэй Катаока,Кадзума Кондо","боевик,драма,сёнэн,трагедия,фэнтези","182 страницы, мягкий переплет, суперобложка",XL Media,"Ценой огромных усилий друзья Ганты, заглянув в лицо своим величайшим страхам, выходят победителями из сражения с сильнейшим отрядом Фальшивок. «Страна чудес» превращается в настоящее поле битвы между силами Макины и оставшимися Фальшивками промоутера Тамаки. Ни одна из сторон не догадывается, что вскоре вся привычная картина мира рухнет прямо на глазах..."
"Манга Страна чудес смертников, том 13",480,"Страна чудес смертников,Deadman Wonderland","Дзинсэй Катаока,Кадзума Кондо","боевик,драма,сёнэн,трагедия,фэнтези","214 страниц, мягкий переплет, суперобложка",XL Media,"С безумцем, создавшим «Страну чудес», покончено, и сама она разваливается, как карточный домик. Но Ганте предстоит встретиться лицом к лицу с последним противником — Злосчастным Яйцом... или все-таки с Сиро, его подругой детства и девушкой, которую он полюбил всем сердцем?.. Неужели этой схватки в самом деле не избежать?"
"Манга Страна чудес смертников, том 8",480,"Страна чудес смертников,Deadman Wonderland","Дзинсэй Катаока,Кадзума Кондо","боевик,драма,сёнэн,трагедия,фэнтези","214 страниц, мягкий переплет, суперобложка",XL Media,"Ганта вместе с нежданной союзницей — шефом-надзирательницей Макиной — пытается добраться до центра управления, чтобы освободить контролируемых с помощью масок Фальшивок. На помощь Ганте приходят старые друзья из сектора G, понявшие и простившие его. Но им противостоят враги, которые прекрасно осведомлены о темном прошлом каждого из Смертников и бьют по самым больным точкам..."
"Манга Семь смертных грехов, том 6",669,"Семь смертных грехов,Nanatsu no Taizai",Накаба Судзуки,"приключения,сёнэн,фэнтези",386 страниц,XL Media,"В столице Лионесса продолжаются ожесточенные схватки между Смертными Грехами и самыми высокопоставленными из Святых рыцарей. Кинг одолел своего давнего друга-врага Хельбрама, Мелиодас бьется с Гилсандером, король Артур — с магистром Хендриксеном. У всех свои причины сражаться, и никто не собирается уступать. Сильнейшей волшебнице королевства тоже предстоит столкнуться с нежданным и могучим противником — в котором Смертные Грехи узнают давно потерянного союзника!"
Манга One Piece. Большой куш. Книга 5,720,"One Piece,One Piece. Большой куш",Эйитиро Ода,"боевик,комедия,приключения,фэнтези","600 страниц, твердый переплет",Азбука,"Приключения сами находят Луффи и его друзей. Не успели они разобраться с Арлонгом и его приспешниками, чтобы продолжить поиски великого сокровища пиратов, как вот они — новая остановка и новый вызов. Команда прибывает в городок Виски-Пик на Кактусовом острове. На первый взгляд — душевное местечко и жители дружелюбные, только все они — охотники за головами. Весь город — одна большая преступная группировка «Барок-Воркс». Опять придётся драться!,В дело вступает Зоро. Первый раунд за ним, но это только начало! Снова придётся вызволять девушку из беды. В этот раз под угрозой — царевна Алабасты Виви. Она слишком много знает о «Барок-Воркс» и главаре организации, и из-за этого царевне и её стране грозит нешуточная опасность. Естественно, Луффи и его друзья не бросят Виви. Вот только знали б они, какого размера проблемы они приобрели — поистине великанского!"
"Манга Нелюдь, том 11",480,"Нелюдь,Ajin",Гамон Сакураи,"приключения,сэйнэн,ужасы,фантастика","196 страниц, мягкий переплет, суперобложка",XL Media,"Сато назначает встречу с одним из министров. Местом встречи выбран город Ирума — по странному совпадению, родина и место смерти Кэя Нагаи. Сам Нагаи и его союзники направляются туда же — им очевидно, что Сато задумал недоброе. В Ируме находится авиабаза сил самообороны, и в ближайшее время там по случаю ежегодного фестиваля окажутся тысячи гражданских и высшие чины государства..."
"Манга Стальной Алхимик, том 9",760,"Стальной Алхимик,Fullmetal Alchemist",Хирому Аракава,"боевик,драма,приключения,фантастика","280 страниц, твердый переплет",Азбука,"На фоне политических интриг в Централе, вызванных известиями об истинной натуре Кинга Брэдли, Обжорство жаждет сожрать Роя Мустанга, но закусывает в итоге не им. Проглоченные Обжорством Эд Элрик и «принц-недоумок» Лин оказываются в очень странном месте, «по колено в кровище». Раскрыть Эду глаза на истинное предназначение места готов Зависть, заодно он поделится и другими фактами. Какое же он чудовище! Победить его в истинном облике будет непросто. В это же время оставшийся один на один с Обжорством Ал требует, чтобы гомункул отвёл его к своему истинному отцу. Лицо отца станет большим сюрпризом для Элриков..."
Манга Милый дом Чи. Книга 6,425,"Милый дом Чи,Chis Sweet Home",Конами Каната,"комедия,повседневность","154 страницы, твердый переплет",Азбука,"Чем заняться летом, если у тебя лапки? Котёнок оставит следы этих самых лапок в каждом часе каждого из дней. Ему будут пытаться объяснить, что надо бы сбавить обороты, что есть вещи, которые даже такой милашке нельзя делать. Но не тут-то было! Гонять голубей — сделано! Играть на детской площадке с суровым на вид черноухим котёнком, хоть тот и не в восторге от того, что приходится возиться с малявкой — получилось!,А впереди знакомство с самыми разными вещами: видеокамерой, тортом с клубничками, пылесосом и лестницей (оттуда так весело ронять вниз вещи поменьше). Потом Чи подарят красивый ошейник с колокольчиком, но она этого подношения не оценит. Зато будет в полном восторге от ночной прогулки с Чернышом. Чи встретят как свою на тайной кошачьей сходке. Туда и суровый новый друг с чёрным ухом придёт. Не начало ли это больших перемен в жизни котёнка?"
Манга Девушка из прачечной,450,"Coin Laundry no Onna,Девушка из прачечной",Хиро Киёхара,"комедия,сёнэн",180 страниц,Фабрика комиксов,"Хару Танака по стечению обстоятельств присматривает за загадочной девушкой Маоко, что живет в прачечной самообслуживания. Какие странные, веселые и грустные вещи случаются, когда встречаются столь необычные персонажи?"
"Манга Мадам веселится, том 1",420,"Madam to Oyuugi,Мадам веселится",Акэми Мацунаэ,"повседневность,эротика",186 страниц,Фабрика комиксов,
"Манга One-Punch Man, книга 9",570,One-Punch Man,"One,Юскэ Мурата","боевик,комедия,приключения,фантастика","400 страниц, твердый переплет",Азбука,"За Гаро, кому сам чёрт не брат, а любые чудовища ему — ноль без палочки, после Дженоса взялся Бэнг — бывший наставник возомнившего себя самым страшным монстром ученика. Подействует ли на Гаро стиль потока, разрушающего скалы?,Только у Ассоциации Чудовищ свои планы на Гаро, хоть тот и задирает нос, грозясь побить как всех героев, так и чудищ. Резкий перелом в битве, смена противника — и смертельный арсенал в дело пускает Сороконожка-Старейшина. А Гаро наконец предстоит встреча с Сайтамой, и вот это — настоящий вызов!"
"Манга Токийский гуль: re, том 1",630,"Токийский гуль: re,Tokyo Ghoul:Re",Суи Исида,"боевик,драма,сэйнэн","444 страницы, твердый переплет",Азбука,"Прошло три года с памятных событий, после которых следы Кэна Канеки, обычного студента, вовлеченного в гущу войны между людьми и гулями, затерялись. За это время ни гули никуда не делись и все так же собирают кровавую жатву, ни люди не собираются так просто сдаваться. У ККГ, организации по изучению и уничтожению гулей, новые наработки и планы. Их новое оружие — экспериментальная команда куинксов, людей, которым способности гулей дарует вживлённый в их организмы особый орган кагунэ.,Гибкий, как водный поток, но при этом обладающий прочностью стали охотничий орган гулей является главным оружием этих монстров. Кагунэ придает гулям, а теперь и избранным людям, огромную силу и невероятную быстроту реакций. Правда, есть одно «но»: убить гуля довольно непросто с их способностью к восстановлению, но от раны, нанесенной кагунэ, даже самый сильный гуль может и не оправиться. С такими способностями люди выходят на новый уровень противостояния гулям. Только способны ли они справиться с обретенной силой?..,Наставником куинксов становится загадочный следователь первого ранга Хайсэ Сасаки, который много знает о гулях, как и о том, как не перестать быть человеком, получив столь неоднозначные способности. Он знает об этом куда больше, чем показывает..."
"Манга Бдительный Эгути-кун, том 3",390,"Бдительный Эгути-кун,Eguchi-kun wa Minogasanai",Юкико Нодзава,"комедия,этти",128 страниц,Фабрика комиксов,"В глазах Хадзимэ Эгути отражаются грезы, одолевающие всех мальчишек его возраста. Наша повседневная жизнь пронизана пикантными моментами, но их так легко упустить! Бюстгальтер под пропитавшейся потом кофточкой; трусики, явленные на свет налетевшим ветерком; грудь, проглядывающая на месте оторвавшейся пуговицы. Ни одна пикантность не ускользнет от взгляда Эгути-куна!"
"Манга Токийский гуль: re, том 2",630,"Токийский гуль: re,Tokyo Ghoul:Re",Суи Исида,"боевик,драма,сэйнэн","464 страницы, твердый переплет",Азбука,"Операция по зачистке аукциона гулей в самом разгаре..., Следователи ККГ оказываются в непростой ситуации, когда на подмогу «Древу Аогири» приходят Клоуны. Хайсэ и куинксам тем временем поручено уничтожить Щелкунчика, чей рейтинг угрозы возрастает прямо во время выполнения задания..., Однако на пути у Сасаки и его подчиненных возникает обезумевший и крайне жестокий гуль, которому что-то известно о прошлом Хайсэ..."
"Манга One-Punch Man, книга 8",570,One-Punch Man,"One,Юскэ Мурата","боевик,комедия,приключения,фантастика","416 страниц, твердый переплет",Азбука,"Где все остановилось в предыдущем томе? Шла Супербитва, от геройской удали молнии в воздухе сверкали, а та самая Ассоциация чудовищ намеревалась показать зазнайкам истинное значение слов «унижение» и «боль». Так Сайтаме такие вызовы на один удар... ну, на пару-тройку. Скука, в общем.,Не пора ли уже ему самому нанести визит в Ассоциацию чудовищ? Но прежде, как и подобает бойцу, с кем никому не сравниться по силам, Сайтама должен преодолеть очередной приступ хандры. Как вовремя будут к месту наставления Короля (да, того, кто любит играть в симуляторы свиданий и о ком Сайтама знает чуть больше остальных) об истинном предназначении героев. Выдохнули — и в бой снова. Покой от чудовищ только снится. Они уже и клинья к некоторым героям подбивают, а еще и Гаро, кому не дает покоя желание стать самым могущественным злодеем, не успокаивается..."
"Манга Стальной Алхимик, том 7",760,"Стальной Алхимик,Fullmetal Alchemist",Хирому Аракава,"боевик,драма,приключения,фантастика","272 страницы, твердый переплет",Азбука,"Эд, Ал и Винри вернулись в Централ, а там творится чертовщина! Младший лейтенант Мария Росс обвиняется в страшном преступлении, на нее объявлена охота, полковник Мустанг объявляет, что преступница понесла наказание за содеянное. Это все похоже на заговор или на какую-то хитрую игру...,В это же время плененный Мясник Барри становится явно нежелательным объектом для Отца. Секрет философского камня под угрозой. На охоту выходит Похоть. Дотянутся ли ее когти до цели, если на пути гомункулов встанет Рой Мустанг?"
