name,price,series,authors,genres,formats,producer,description
Манга Атака на Титанов. Книга 8,550,"Атака на Титанов,Shingeki no Kyojin",Хадзимэ Исаяма,"боевик,драма,приключения,фэнтези","твердый переплет, 384 страницы",Азбука,"Разведкорпус узнал, что наследники истинного королевского рода, который хранит тайну титанов и может дать ответы на все вопросы, держатся в тени, а на троне сидит подставной король. В голове Эрвина Смита рождается дерзкий замысел. Спецотряд полиции похищает Кристу и Эрена, отряд Леви пускается в погоню за ними, а в столице строят виселицы для заговорщиков..."
"Манга Куклы, том 8",310,Куклы,"Naked Ape,Саки Отоо,Накамура Томоми","детектив,мистика,триллер","мягкая обложка, 192 страницы",Фабрика комиксов,"Столицу Третьей империи Тоуто захлестнула волна преступности. Желая ускорить процесс исполнения приговоров, правительство приняло «Закон об эффективности судебной системы», согласно которому суды получили право выносить смертные приговоры в отсутствии обвиняемых. Сотрудники Особого отдела по исполнению высшей меры наказания должны были самостоятельно разыскивать преступников и немедленно приводить приговор в исполнение. За беспрекословное подчинение букве закона и неслыханную жестокость их прозвали «куклами»."
"Манга Опережая поцелуй, том 4",310,Опережая поцелуй,Мэка Танака,"романтика,сёдзё","мягкая обложка, 192 страницы",РосМанга,"Фумино Кадзи, школьницу с маленьким братиком, на улице находит её классный руководитель Кадзума Одзиро и предлагает пойти жить к нему домой. Девушка заявляет, что раз уж ему её так жалко, то пусть берёт её замуж. Так, слово за слово, эти двое действительно женятся! Сначала Фумино решает использовать сэнсэя только для того, чтобы содержать брата, но благодаря любви Кадзумы, тоже начинает испытывать к нему определённые чувства."
Манга Бакуман. Книга 4,560,"Бакуман,Bakuman","Такэси Обата,Цугуми Ооба","комедия,повседневность,романтика","твердый переплет, 384 страницы",Азбука,
"Манга Священная мелодия. Нерассказанная история, том 2",310,Священная мелодия. Нерассказанная история,"И Хань,Yi Huan",фантастика,"мягкая обложка, 176 страниц",Фабрика комиксов,"Девушка-лисица Цай Шэн волею небожителей была разлучена с возлюбленным. Однако бессмертные позволили ей искать перевоплощения своего избранника Вэй Цзу Цю в мире смертных. И пока Цай Шэн занимается поисками, она, обладая недюжинной магической силой и способностью перевоплощаться из девушки в юношу, помогает сестрицам лисьего рода сохранить жизнь и избежать преследования со стороны людей., Неожиданно на ее пути появляется посланец небожителей Юй Эр. Он всячески препятствует поискам Цай Шэн, потому что сам хочет жениться на ней и забрать на небеса. Но искренни ли его намерения? Это другая, еще нерассказанная история."
Манга Алиса и вторжение роботов,310,Алиса и вторжение роботов,Сяо Найчжун,фэнтези,"мягкая обложка, 186 страниц",Фабрика комиксов,"Нежданно-негаданно Зазеркалье постигла беда: в королевство вторглась целая армия, оснащенная боевыми роботами. Белый кролик, столкнувшись с жестокостью врагов, вынужден покинуть Зазеркалье, найти ту самую девочку Алису, о которой слагались легенды и спасти свой мир. Так началась Великая Битва за Зазеркалье."
"Манга Нелюбимый, том 5",380,"Нелюбимый,Loveless",Кога Юн,"сёнэн-ай,фэнтези","мягкий переплет, 192 страницы",Фабрика комиксов,"В первый день в своей новой школе 12-летний мальчик (Рицука) встретил таинственного молодого человека по имени Соби. Он назвался хорошим другом старшего брата Рицуки, Сэймэя, обгоревший труп которого был найден два года назад. По слухам, старшего брата убила некая организация «Семь Лун», но Соби отказывается отвечать на все вопросы Рицуки. Рицука просит Соби поделить с ним «воспоминания», но в парке на них нападают двое молодых людей, которым известно что-то о «Семи Лунах»."
"Манга Номер один, том 10",310,Номер один,Никки Ли,"комедия,сёдзё","мягкая обложка, 176 страниц",Фабрика комиксов,"Шестнадцатилетняя Тэн Лили — дочь трагически погибшей тайваньской супермодели. Несмотря на все уговоры работающей в модельном бизнесе тети, юная девушка не собирается идти по маминым стопам. Но однажды в журнале «GQ» Лили случайно видит поразившее ее фото Ангуса Лэнсона — самого известного в мире из мужчин-моделей. Это круто меняет ее планы и мечты. Теперь она хочет лишь одного: попасть в мир высокой моды, чтобы стать ближе к своему кумиру, у которого, кстати, имеется таинственный брат-близнец."
"Манга Эмбрион мира, том 7",610,Эмбрион мира,Морияма Дайсукэ,"мистика,ужасы","мягкая обложка, 244 страницы",Фабрика комиксов,"Рику Аманэ потерял женщину, которой восхищался больше всего на свете. Долгими бессонными ночами он лелеял воспоминания о ней. Два года спустя он стал свидетелем кровавого сражения с участием людей, превратившихся в чудовищ. Он должен был умереть, но его спас кокон. Рожденная коконом женщина как две капли воды походила ну ту, что он потерял. С ее появлением начались поиски истины. Поиски, в ходе которых так легко расстаться с жизнью."
"Манга Адские механизмы: Механический принц, том 2",500,Адские механизмы,"Кассандра Клэр,Пэк Хегён","приключения,фэнтези",256 страниц,АСТ,"Тесс Грей думала, что поездка в Лондон станет началом новой жизни, но она и не подозревала, чем на самом деле обернётся её путешествие. После прибытия в Англию, Тесс переживает череду страшных событий, которые изменили её мир навсегда. Вместе с новыми друзьями, Сумеречными охотниками, Тесс предстоит ещё многое узнать о себе и своём таинственном прошлом, разобраться в собственных чувствах и выяснить, кто же такой на самом деле Магистр, и что он задумал... Спокойные времена ещё не настали, и зло лишь притаилось, ожидая своего часа..."
